[  135773ms] [LOG] FPS: 41.608876560332874 | Frame avg: 24.03333333333333ms | Frame max: 33.800000000000004ms | Game avg: 0.002380952380952381ms | Render avg: 0.01904761904761905ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  140773ms] [LOG] FPS: 41.81600955794504 | Frame avg: 23.914285714285718ms | Frame max: 34.800000000000004ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  145772ms] [LOG] FPS: 42.75203817856433 | Frame avg: 23.390697674418607ms | Frame max: 36.6        ms | Game avg: 0.0         ms | Render avg: 0.011627906976744188ms | Window hitches: 4 @ http://127.0.0.1:9999/pixl.js:5
[  150755ms] [LOG] FPS: 41.28169844702182 | Frame avg: 24.223809523809525ms | Frame max: 32.800000000000004ms | Game avg: 0.002380952380952381ms | Render avg: 0.011904761904761906ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  155770ms] [LOG] FPS: 39.836669654416895 | Frame avg: 25.1025     ms | Frame max: 34.10000000000001ms | Game avg: 0.01        ms | Render avg: 0.0025      ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  160754ms] [LOG] FPS: 41.420118343195256 | Frame avg: 24.14285714285715ms | Frame max: 34.4        ms | Game avg: 0.004761904761904762ms | Render avg: 0.004761904761904762ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  165757ms] [LOG] FPS: 40.18032144257154 | Frame avg: 24.88780487804878ms | Frame max: 34.4        ms | Game avg: 0.0         ms | Render avg: 0.002439024390243903ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  170778ms] [LOG] FPS: 41.02764481781771 | Frame avg: 24.37380952380953ms | Frame max: 33.0        ms | Game avg: 0.0         ms | Render avg: 0.004761904761904762ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  175766ms] [LOG] FPS: 36.86360466274784 | Frame avg: 27.127027027027022ms | Frame max: 29.0        ms | Game avg: 0.005405405405405406ms | Render avg: 0.0         ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  180757ms] [LOG] FPS: 43.2772695977181 | Frame avg: 23.106818181818188ms | Frame max: 33.2        ms | Game avg: 0.01818181818181818ms | Render avg: 0.013636363636363637ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  185757ms] [LOG] FPS: 41.42420357037182 | Frame avg: 24.140476190476196ms | Frame max: 33.5        ms | Game avg: 0.0071428571428571435ms | Render avg: 0.0071428571428571435ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  190756ms] [LOG] FPS: 36.26029008232066 | Frame avg: 27.57837837837838ms | Frame max: 29.1        ms | Game avg: 0.010810810810810811ms | Render avg: 0.008108108108108109ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  195770ms] [LOG] FPS: 41.2290173750859 | Frame avg: 24.254761904761896ms | Frame max: 35.50000000000001ms | Game avg: 0.0071428571428571435ms | Render avg: 0.0         ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  200765ms] [LOG] FPS: 41.281698447021824 | Frame avg: 24.223809523809518ms | Frame max: 31.3        ms | Game avg: 0.002380952380952381ms | Render avg: 0.004761904761904762ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  205785ms] [LOG] FPS: 41.05571847507332 | Frame avg: 24.357142857142854ms | Frame max: 36.6        ms | Game avg: 0.02380952380952381ms | Render avg: 0.0071428571428571435ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  210757ms] [LOG] FPS: 42.95197188598204 | Frame avg: 23.28181818181818ms | Frame max: 31.7        ms | Game avg: 0.004545454545454545ms | Render avg: 0.00909090909090909ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
[  215769ms] [LOG] FPS: 40.43392504930966 | Frame avg: 24.731707317073177ms | Frame max: 38.3        ms | Game avg: 0.002439024390243903ms | Render avg: 0.007317073170731709ms | Window hitches: 1 @ http://127.0.0.1:9999/pixl.js:5
[  220755ms] [LOG] FPS: 46.2917364325815 | Frame avg: 21.60212765957447ms | Frame max: 35.0        ms | Game avg: 0.006382978723404256ms | Render avg: 0.006382978723404256ms | Window hitches: 2 @ http://127.0.0.1:9999/pixl.js:5
[  225757ms] [LOG] FPS: 42.11969830541678 | Frame avg: 23.741860465116282ms | Frame max: 31.8        ms | Game avg: 0.0069767441860465115ms | Render avg: 0.0069767441860465115ms | Window hitches: 0 @ http://127.0.0.1:9999/pixl.js:5
